record.id	node.id	part_age	cont_age	w	m	c
1	1	0	0	184425	0.540245153177738	2.92934880400021e-06
2	2	1	0	184425	0.350816383251066	1.9022170706307e-06
3	3	2	0	184425	0.244508346767062	1.32578742994205e-06
4	4	3	0	184425	0.180153306442563	9.76837773851501e-07
5	5	4	0	184425	0.134129976652403	7.27287388653399e-07
6	6	5	0	184425	0.0990842710633066	5.37260518168939e-07
7	7	6	0	184425	0.0718093344484803	3.89368764801303e-07
8	8	7	0	184425	0.0554160293020889	3.00480028749296e-07
9	9	8	0	184425	0.0466024725892944	2.52690647088488e-07
10	10	9	0	184425	0.040000000507669	2.16890337577167e-07
11	11	10	0	184425	0.0318310558477845	1.72596209016047e-07
12	12	11	0	184425	0.025380900567786	1.37621800557332e-07
13	13	12	0	184425	0.0211184583061108	1.14509737324716e-07
14	14	13	0	184425	0.0182989550629585	9.92216622635677e-08
15	15	14	0	184425	0.0165947906206676	8.99812423514579e-08
16	16	15	0	184425	0.0154849914322356	8.39636244122848e-08
17	17	16	0	184425	0.0150955750918908	8.18521084011975e-08
18	18	17	0	184425	0.0150362480886206	8.15304220611122e-08
19	19	18	0	184425	0.0157278187241871	8.52802967286816e-08
20	20	19	0	184425	0.017521718290104	9.50072836660108e-08
21	21	20	0	184425	0.020687320970014	1.12171999295182e-07
22	22	21	0	184425	0.0250745436422615	1.35960654153512e-07
23	23	22	0	184425	0.0314942802269092	1.70770124586738e-07
24	24	23	0	184425	0.0395544193343572	2.1447428133039e-07
25	25	24	0	184425	0.0478228712725229	2.59307964064107e-07
26	26	25	0	184425	0.0585377704801233	3.17406915982775e-07
27	27	26	0	184425	0.0751722426620748	4.07603322012064e-07
28	28	27	0	184425	0.0999596090505048	5.42006826897139e-07
29	29	28	0	184425	0.134732407872556	7.3055392637959e-07
30	30	29	0	184425	0.17345077690635	9.40494926969502e-07
31	31	30	0	184425	0.210060034238797	1.13899977898223e-06
32	32	31	0	184425	0.240638484138498	1.3048040349112e-06
33	33	32	0	184425	0.251074009635586	1.36138815038952e-06
34	34	33	0	184425	0.234142378913136	1.26958047397661e-06
35	35	34	0	184425	0.209729096728472	1.13720535029671e-06
36	36	35	0	184425	0.186192649484224	1.00958465221214e-06
37	37	36	0	184425	0.163123120667715	8.84495706480764e-07
38	38	37	0	184425	0.135151383113505	7.32825718386907e-07
39	39	38	0	184425	0.109738209767957	5.95028926490213e-07
40	40	39	0	184425	0.0910928327780783	4.93928875033636e-07
41	41	40	0	184425	0.0773614242930862	4.19473630435604e-07
42	42	41	0	184425	0.0643728746144532	3.49046358218535e-07
43	43	42	0	184425	0.0530458013915778	2.8762804062127e-07
44	44	43	0	184425	0.0436022758980882	2.36422805466115e-07
45	45	44	0	184425	0.0362837092028243	1.96739645941843e-07
46	46	45	0	184425	0.0306771194405542	1.66339267672789e-07
47	47	46	0	184425	0.0263531289518229	1.42893474050822e-07
48	48	47	0	184425	0.0239050968555839	1.29619611525465e-07
49	49	48	0	184425	0.0232588596579901	1.26115546471412e-07
50	50	49	0	184425	0.0239954264118649	1.30109401718124e-07
51	51	50	0	184425	0.0258455561041043	1.40141282928585e-07
52	52	51	0	184425	0.0293407782303255	1.59093280359634e-07
53	53	52	0	184425	0.0349416524672023	1.89462667573281e-07
54	54	53	0	184425	0.0411747289141174	2.23260018512226e-07
55	55	54	0	184425	0.0470007895148461	2.54850424372217e-07
56	56	55	0	184425	0.0530022633288865	2.87391965996402e-07
57	57	56	0	184425	0.0598068352072544	3.24288112822309e-07
58	58	57	0	184425	0.0677135664114819	3.67160452278606e-07
59	59	58	0	184425	0.0744427467137028	4.03647806499676e-07
60	60	59	0	184425	0.0806559312539988	4.37337298381449e-07
61	61	60	0	184425	0.0825218502452462	4.47454793250624e-07
62	62	61	0	184425	0.0833323899073123	4.51849748717974e-07
63	63	62	0	184425	0.0824684294734991	4.47165132023853e-07
64	64	63	0	184425	0.0818830259255605	4.43990922735857e-07
65	65	64	0	184425	0.076276700642332	4.13591978540502e-07
66	66	65	0	184425	0.0655788684639544	3.55585568463898e-07
67	67	66	0	184425	0.0534675368930187	2.89914799474143e-07
68	68	67	0	184425	0.0428633929756126	2.3241639135482e-07
69	69	68	0	184425	0.0354920122833138	1.92446860693039e-07
70	70	69	0	184425	0.0302822341242865	1.64198097461225e-07
71	71	70	0	184425	0.0253872893745027	1.3765644231803e-07
72	72	71	0	184425	0.0214859272365198	1.16502248808566e-07
73	73	72	0	184425	0.0183278753597792	9.93784755850847e-08
